revision;file;methodSignature;references
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_f46d555_e134bf0/rev_f46d555-e134bf0;/src/main/java/com/fasterxml/jackson/databind/ser/std/EnumSerializer;getSchema(SerializerProvider,Type);;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_f46d555_e134bf0/rev_f46d555-e134bf0;/src/main/java/com/fasterxml/jackson/databind/ser/std/BeanSerializerBase;depositSchemaProperty(BeanPropertyWriter,ObjectNode,SerializerProvider);;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_64319ad_87e4661/rev_64319ad-87e4661;/src/main/java/com/fasterxml/jackson/databind/deser/std/MapDeserializer;isCachable();;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_7785dff_0ec81c0/rev_7785dff-0ec81c0;/src/test/java/com/fasterxml/jackson/databind/struct/TestObjectIdDeserialization;testCustomPoolResolver();;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_6172d75_726b6e0/rev_6172d75-726b6e0;/src/main/java/com/fasterxml/jackson/databind/deser/BeanDeserializer;deserializeWithErrorWrapping(SettableBeanProperty,JsonParser,DeserializationContext,String);;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_8caf290_ccf82e8/rev_8caf290-ccf82e8;/src/main/java/com/fasterxml/jackson/databind/introspect/AnnotatedClass;resolveClassAnnotations();;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_0934fb7_493ba8d/rev_0934fb7-493ba8d;/src/main/java/com/fasterxml/jackson/databind/deser/std/EnumDeserializer;_deserializeAltString(JsonParser,DeserializationContext,String);private final Object _deserializeAltString(JsonParser p, DeserializationContext ctxt,            String name) throws IOException    {;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_e09adcb_f1f4023/rev_e09adcb-f1f4023;/src/main/java/com/fasterxml/jackson/databind/ser/std/AtomicReferenceSerializer;isEmpty(SerializerProvider,AtomicReference<?>);;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_9845fb2_779411e/rev_9845fb2-779411e;/src/main/java/com/fasterxml/jackson/databind/ser/std/AtomicReferenceSerializer;serializeWithType(AtomicReference<?>,JsonGenerator,SerializerProvider,TypeSerializer);;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_580e652_2520c29/rev_580e652-2520c29;/src/main/java/com/fasterxml/jackson/databind/deser/std/AtomicReferenceDeserializer;deserializeWithType(JsonParser,DeserializationContext,TypeDeserializer);;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_c270be0_cc53828/rev_c270be0-cc53828;/src/main/java/com/fasterxml/jackson/databind/jsontype/impl/ClassNameIdResolver;_typeFromId(String,TypeFactory);protected JavaType _typeFromId(String id, TypeFactory typeFactory)    {;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_fdd9596_ab4f17f/rev_fdd9596-ab4f17f;/src/test/java/com/fasterxml/jackson/databind/deser/TestExceptionHandling;testExceptionWithEOF();public void testExceptionWithEOF() throws Exception    {;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_a0bd159_c3e0113/rev_a0bd159-c3e0113;/src/test/java/com/fasterxml/jackson/databind/deser/TestUntypedDeserialization;testNestedUntyped989();;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_c59ad69_64967c4/rev_c59ad69-64967c4;/src/main/java/com/fasterxml/jackson/databind/ser/std/MapSerializer;_orderEntries(Map<?,?>,JsonGenerator,SerializerProvider,Object);;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_fc74771_8de9cef/rev_fc74771-8de9cef;/src/main/java/com/fasterxml/jackson/databind/deser/impl/InnerClassProperty;withValueDeserializer(JsonDeserializer<?>);;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_fc74771_8de9cef/rev_fc74771-8de9cef;/src/main/java/com/fasterxml/jackson/databind/deser/impl/ManagedReferenceProperty;withValueDeserializer(JsonDeserializer<?>);;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_24b5821_9a083ad/rev_24b5821-9a083ad;/src/test/java/com/fasterxml/jackson/databind/filter/ProblemHandlerTest;testWeirdStringHandling();;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_e353aa0_fe80e86/rev_e353aa0-fe80e86;/src/test/java/com/fasterxml/jackson/databind/filter/TestAnyGetterFiltering;testAnyGetterIgnore();;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_7683f49_dc2c003/rev_7683f49-dc2c003;/src/test/java/com/fasterxml/jackson/databind/deser/DateDeserializationTest;read(ObjectMapper,Object,Class<T>);;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_03cc86b_27491ae/rev_03cc86b-27491ae;/src/test/java/com/fasterxml/jackson/databind/deser/exc/TestExceptionDeserialization;testSingleValueArrayDeserializationException();;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_5136650_9c4a7e5/rev_5136650-9c4a7e5;/src/test/java/com/fasterxml/jackson/databind/node/TestNumberNodes;testBigIntegerNode();;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_991ccbe_ddfddfb/rev_991ccbe-ddfddfb;/src/test/java/com/fasterxml/jackson/databind/interop/IllegalTypesCheckTest;testIssue1599();public void testIssue1599() throws Exception    {;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_8d0b850_dcfb0cc/rev_8d0b850-dcfb0cc;/src/main/java/com/fasterxml/jackson/databind/DeserializationContext;handleMissingInstantiator(Class<?>,JsonParser,String,Object);;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_8ca9c1c_04c777f/rev_8ca9c1c-04c777f;/src/main/java/com/fasterxml/jackson/databind/DeserializationContext;mappingException(Class<?>,JsonToken);;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_998d79f_9d4a741/rev_998d79f-9d4a741;/src/main/java/com/fasterxml/jackson/databind/deser/impl/CreatorCollector;addDelegatingCreator(AnnotatedWithParams,boolean,SettableBeanProperty[]);public void addDelegatingCreator(AnnotatedWithParams creator,            boolean explicit, SettableBeanProperty[] injectables)    {;0
/home/ramdisk/experiment1/projects/jackson-databind/revisions/rev_6ec6e3e_a43d23d/rev_6ec6e3e-a43d23d;/src/main/java/com/fasterxml/jackson/databind/JsonNode;isMissingNode();;0
